;display;magnMap;parMap;greatMap;lessMap;oddMap;evenMap;firstFig;secondFig;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER;cocoa;cue0FileName;blockN;trialN;breakMessage;mappingsGuide
0;Instructions;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;;;;;;;;;;;;vertLA.png
1;training;;;;;;;;;black;black;vert;3;blackblackvert.png;blackblackvert3.png;magnit;A;;;;;;vertLA.png
2;training;;;;;;;;;black;black;vert;6;blackblackvert.png;blackblackvert6.png;magnit;L;;;;;;vertLA.png
3;training;;;;;;;;;black;black;hori;2;blackblackhori.png;blackblackhori2.png;parity;L;;;;;;vertLA.png
4;training;;;;;;;;;black;black;hori;4;blackblackhori.png;blackblackhori4.png;parity;L;;;;;;vertLA.png
5;training;;;;;;;;;black;black;hori;1;blackblackhori.png;blackblackhori1.png;parity;A;;;;;;vertLA.png
6;training;;;;;;;;;black;black;vert;8;blackblackvert.png;blackblackvert8.png;magnit;L;;;;;;vertLA.png
7;training;;;;;;;;;black;black;hori;9;blackblackhori.png;blackblackhori9.png;parity;A;;;;;;vertLA.png
8;training;;;;;;;;;black;black;hori;7;blackblackhori.png;blackblackhori7.png;parity;A;;;;;;vertLA.png
9;training;;;;;;;;;black;black;hori;8;blackblackhori.png;blackblackhori8.png;parity;L;;;;;;vertLA.png
10;training;;;;;;;;;black;black;hori;3;blackblackhori.png;blackblackhori3.png;parity;A;;;;;;vertLA.png
11;training;;;;;;;;;black;black;vert;9;blackblackvert.png;blackblackvert9.png;magnit;L;;;;;;vertLA.png
12;training;;;;;;;;;black;black;hori;6;blackblackhori.png;blackblackhori6.png;parity;L;;;;;;vertLA.png
13;training;;;;;;;;;black;black;vert;1;blackblackvert.png;blackblackvert1.png;magnit;A;;;;;;vertLA.png
14;training;;;;;;;;;black;black;vert;4;blackblackvert.png;blackblackvert4.png;magnit;A;;;;;;vertLA.png
15;training;;;;;;;;;black;black;vert;7;blackblackvert.png;blackblackvert7.png;magnit;L;;;;;;vertLA.png
16;training;;;;;;;;;black;black;vert;2;blackblackvert.png;blackblackvert2.png;magnit;A;;;;;;vertLA.png
